accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
MH669000,2301561,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Ali17
MH669001,2301563,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage EleanorGeorge
MH669002,2301564,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Emmina
MH669003,2301565,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Girr
MH669004,2301573,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Arquatrovirinae,Arequatrovirus,Streptomyces phage Hank144
MH669005,2301566,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage JoeyJr
MH669006,2301574,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage LibertyBell
MH669007,2301558,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Marietta
MH669008,2301562,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Megamind
MH669009,2301567,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Nimbo
MH669010,2301568,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage PHappiness
MH669011,2301569,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage PherrisBueller
MH669012,2301570,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage QuickMath
MH669013,2301559,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Skysand
MH669014,2301571,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Spikelee
MH669015,2301560,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Wizardvirus,Gordonia phage TillyBobJoe
MH669016,2301575,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Arquatrovirinae,Arequatrovirus,Streptomyces phage TrvxScott
MH669017,2301572,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Omegavirus,Mycobacterium phage Zelink
MH669274,2316016,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Gamaleyavirus,Escherichia phage PD38
MH673671,2301535,Viruses,Preplasmiviricota,Tectiliviricetes,Kalamavirales,Tectiviridae,,,Thermus phage phiKo
MH673672,1400796,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Oshimavirus,Thermus phage phiFa
MH673673,2301536,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Thermus phage phiLo
MH673674,2301537,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Thermus phage phiMa
MH674343,1430441,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Methanobacterium virus Drs3
MH675552,2301731,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Bacteroides phage crAss001
MH675927,2316019,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Escherichia phage vB_vPM_PD114
MH684921,2282912,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Scottvirus,Sphingomonas virus Scott
MH688040,2301531,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Viunavirus,Salmonella phage Mooltan
MH688453,2301532,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,,Webervirus,Klebsiella virus TSK1
MH697575,2301546,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Adahisdi
MH697576,2301547,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Nclasvirinae,Charlievirus,Mycobacterium phage Aggie
MH697577,2301540,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Gilesvirus,Mycobacterium phage Amochick
MH697578,2301541,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Belladonna
MH697579,2301548,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Cane17
MH697580,2301538,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vendettavirus,Gordonia phage Catfish
MH697581,2301549,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Crispicous1
MH697582,2301550,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Omegavirus,Mycobacterium phage Ejimix
MH697583,2301542,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Omegavirus,Mycobacterium phage EricMillard
MH697584,2301543,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Rosebushvirus,Mycobacterium phage FrenchFry
MH697585,2301551,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Nclasvirinae,Charlievirus,Mycobacterium phage Gex
MH697586,2301553,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage InigoMontoya
MH697587,2301552,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Mclasvirinae,Bongovirus,Mycobacterium phage IPhane7
MH697588,2301554,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Jaykayelowell
MH697589,2301539,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Neferthenavirus,Microbacterium virus Neferthena
MH697590,2301555,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Phlegm
MH697591,2301544,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage QueenBeesly
MH697592,2301556,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Rando14
MH697593,2301545,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Nclasvirinae,Charlievirus,Mycobacterium phage Tapioca
MH700630,2301527,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Sinorhizobium phage phiM6
MH706966,1150757,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Enterobacteria phage mEp021
MH707430,2301661,Viruses,,,,,,,Bacillus phage BSP7
MH709120,2301648,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Cvivirinae,Kuttervirus,Salmonella phage SenASZ3
MH709121,2301647,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Cvivirinae,Kuttervirus,Salmonella phage SenALZ1
MH713599,2301662,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,,Acinetobacter phage KARL-1
MH717096,2340720,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Escherichia phage N7
MH717097,2340716,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Escherichia phage C1
MH717098,2340719,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teseptimavirus,Escherichia virus N30
MH717099,2340717,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teseptimavirus,Escherichia virus C5
MH717709,2301650,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teetrevirus,Escherichia virus LL2
MH719082,2301649,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Escherichia phage vB_EcoM_IME392
MH719189,2301634,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage Fc02
MH719190,2301636,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage H71
MH719191,2301635,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage Fc22
MH719192,2301638,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage Ps56
MH719193,2301637,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage H72
MH719194,2301640,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Beetrevirus,Pseudomonas phage Ps60
MH719195,2301639,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage Ps59
MH725810,2301646,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Pakpunavirus,Pseudomonas phage PaYy-2
MH727543,2301609,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage CharlieB
MH727544,2301605,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Dalmuri
MH727545,2301610,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage DismalStressor
MH727546,2301611,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Rosebushvirus,Mycobacterium phage Eaglehorse
MH727547,2301602,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Foxboro
MH727548,2301612,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Galactic
MH727549,2301613,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Gilesvirus,Mycobacterium phage Gancho
MH727550,2301600,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Juiceboxvirus,Corynebacterium virus Juicebox
MH727551,2301614,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Omegavirus,Mycobacterium phage Kalah2
MH727552,2301603,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage KidneyBean
MH727553,2301615,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Marvinvirus,Mycobacterium phage LittleLaf
MH727554,2301606,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage MuchMore
MH727555,2301607,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Mulan
MH727556,2301604,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Gillianvirus,Microbacterium virus OneinaGillian
MH727557,2301616,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Paperbeatsrock
MH727558,2301617,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Salacia
MH727559,2301618,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bronvirus,Mycobacterium phage Samty
MH727560,2301601,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Samwavirus,Corynebacterium virus SamW
MH727561,2301619,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Acadianvirus,Mycobacterium phage Serendipitous
MH727562,2301620,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Marvinvirus,Mycobacterium phage VasuNzinga
MH727563,2301608,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Wizard007
MH727564,2301621,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Yaboi
MH727593,2301642,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Acidovorax phage ACPWH
MH729379,2495576,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Brockvirinae,,Aerococcus phage vB_AviM_AVP
MH729818,2315628,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Molineuxvirinae,Vectrevirus,Escherichia virus LL11
MH729819,2315629,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Tempevirinae,Tlsvirus,Citrobacter virus Sazh
MH729874,2315700,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Jiaodavirus,Klebsiella phage KP179
MH730557,2315335,Viruses,Preplasmiviricota,Tectiliviricetes,Vinavirales,Corticoviridae,,,Vibrio phage fNo16
MH733496,2315696,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Gamaleyavirus,Escherichia phage PGN829.1
MH744414,2315612,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Arcanine
MH744415,2315613,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage ArcusAngelus
MH744416,2315611,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Microbacterium phage Dongwon
MH744417,2315614,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Grand2040
MH744418,2315618,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage JustBecause
MH744419,2315608,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Radnorvirus,Arthrobacter phage KBurrousTX
MH744420,2315619,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Kromp
MH744421,2315609,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Korravirus,Arthrobacter phage Moki
MH744422,2315615,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Roots515
MH744423,2315616,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,,Mycobacterium phage Saguaro
MH744424,2315610,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Turuncu
MH744425,2315617,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bronvirus,Mycobacterium phage Wamburgrxpress
MH745368,2315695,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Markadamsvirinae,Tequintavirus,Escherichia phage fp01
MH746814,2315458,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus,Acinetobacter virus Aci05
MH746817,2292880,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Achromobacter phage vB_Ade_ART
MH751506,2060721,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia phage T2
MH752385,2315627,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Bacillus phage Ray17
MH752840,2306966,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Vequintavirinae,Vequintavirus,Escherichia phage vB_EcoM-Pr121LW
MH763831,2315601,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus,Acinetobacter virus Aci08
MH766655,2290809,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Curvibacter phage TJ1
MH779498,2315535,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Bread
MH779499,2315529,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Buggaboo
MH779500,2315536,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Crownjwl
MH779501,2315530,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Emianna
MH779502,2315537,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage FudgeTart
MH779503,2315538,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Gemini
MH779504,2315531,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Langleyhallvirinae,Getalongvirus,Gordonia virus Getalong
MH779505,2315539,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Grizzly
MH779506,2315528,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Guntur
MH779507,2315540,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Hotshotbaby7
MH779508,2315532,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Jifall16
MH779509,2315541,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Kasen3
MH779510,2315533,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Kurt
MH779511,2315542,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bronvirus,Mycobacterium phage LilDestine
MH779512,2315534,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Microbacterium phage Miaurora
MH779513,2315543,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Olga
MH779514,2315544,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Paito
MH779515,2315545,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Sweets
MH779516,2315546,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Waterdiva
MH779517,2315547,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Zulu
MH779518,2305481,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBB12
MH779519,2305480,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_LLc_bIBB14
MH779520,2305482,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBB27
MH779521,2305483,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBB94p4
MH779522,2305484,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBBA3
MH779523,2305485,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBBAm4
MH779524,2305486,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBBD4
MH779525,2305487,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBBE1
MH779526,2305488,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBBL81
MH779527,2305489,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ceduovirus,Lactococcus phage vB_Llc_bIBBp6/4
MH779619,2315471,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teseptimavirus,Enterobacteria virus IME390
MH791395,2419754,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Chivirus,Salmonella phage SeWh-1
MH791396,2419755,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Chivirus,Salmonella phage SeZq-1
MH791397,2419745,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Brockvirinae,Schiekvirus,Enterococcus phage EfsSzw-1
MH791398,2419739,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,,Aeromonas phage Asswx_1
MH791399,2419748,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Pakpunavirus,Pseudomonas phage PaGz-1
MH791400,2419741,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Suspvirus,Escherichia phage EcSzw-2
MH791401,2419736,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,,Aeromonas phage AsFcp_2
MH791402,2419756,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Salmonella phage Segz_1
MH791403,2419751,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Yuavirus,Pseudomonas phage PaTs-2
MH791405,2419752,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Cvivirinae,Kuttervirus,Salmonella phage SeSz-1
MH791406,2419749,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Yuavirus,Pseudomonas phage PaSz-4
MH791408,2419747,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Pakpunavirus,Pseudomonas phage PaZq-1
MH791409,2419743,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Dhakavirus,Escherichia phage EcWhh-1
MH791410,2479482,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Salmonella phage Seszw_1
MH791411,2419744,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Asteriusvirus,Escherichia phage Ecwhy_1
MH791412,2419753,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Salmonella phage SeSz-2
MH791413,2419742,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Suspvirus,Escherichia phage EcSzw_1
MH791414,2419740,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,,Aeromonas phage Aswh_1
MH791415,2419746,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Saphexavirus,Enterococcus phage EfsWh-1
MH791416,2419750,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Pakpunavirus,Pseudomonas phage PaSzW-1
MH800198,2315466,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus,Acinetobacter virus Aci01-1
MH800199,2315467,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Saclayvirus,Acinetobacter virus Aci02-2
MH800200,2315468,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus,Acinetobacter virus Aci07
MH807810,2320189,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Aarhusvirus,Dickeya phage Dagda_B1
MH807811,2320194,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Corkvirinae,Phimunavirus,Pectobacterium virus Gaspode
MH807812,2320190,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Aglimvirinae,Limestonevirus,Dickeya phage Kamild
